PMID,Title,Abstract,Keywords,Year,Journal
33898179,Biomimetic Liposomal Nanoplatinum for Targeted Cancer Chemophototherapy.,"Photodynamic therapy (PDT) of cancer is limited by tumor hypoxia. Platinum nanoparticles (nano-Pt) as a catalase-like nanoenzyme can enhance PDT through catalytic oxygen supply. However, the cytotoxic activity of nano-Pt is not comprehensively considered in the existing methods to exert their multifunctional antitumor effects. Here, nano-Pt are loaded into liposomes via reverse phase evaporation. The clinical photosensitizer verteporfin (VP) is loaded in the lipid bilayer to confer PDT activity. Murine macrophage cell membranes are hybridized into the liposomal membrane to confer biomimetic and targeting features. The resulting liposomal system, termed ""nano-Pt/VP@MLipo,"" is investigated for chemophototherapy in vitro and in vivo in mouse tumor models. At the tumor site, oxygen produced by nano-Pt catalyzation improves the VP-mediated PDT, which in turn triggers the release of nano-Pt via membrane permeabilization. The ultrasmall 3-5 nm nano-Pt enables better penetration in tumors, which is also facilitated by the generated oxygen gas, for enhanced chemotherapy. Chemophototherapy with a single injection of nano-Pt/VP@MLipo and light irradiation inhibits the growth of aggressive 4T1 tumors and their lung metastasis, and prolongs animal survival without overt toxicity.","Animals, Biomimetics, Breast Neoplasms, Female, Liposomes, Metal Nanoparticles, Mice, Mice, Inbred BALB C, Photochemotherapy, Photosensitizing Agents, Platinum",2021,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
37693885,Plant-Derived Exosome-Like Nanovesicles: Current Progress and Prospects.,"Exosomes are small extracellular vesicles, ranging in size from 30-150nm, which can be derived from various types of cells. In recent years, mammalian-derived exosomes have been extensively studied and found to play a crucial role in regulating intercellular communication, thereby influencing the development and progression of numerous diseases. Traditional Chinese medicine has employed plant-based remedies for thousands of years, and an increasing body of evidence suggests that plant-derived exosome-like nanovesicles (PELNs) share similarities with mammalian-derived exosomes in terms of their structure and function. In this review, we provide an overview of recent advances in the study of PELNs and their potential implications for human health. Specifically, we summarize the roles of PELNs in respiratory, digestive, circulatory, and other diseases. Furthermore, we have extensively investigated the potential shortcomings and challenges in current research regarding the mechanism of action, safety, administration routes, isolation and extraction methods, characterization and identification techniques, as well as drug-loading capabilities. Based on these considerations, we propose recommendations for future research directions. Overall, our review highlights the potential of PELNs as a promising area of research, with broad implications for the treatment of human diseases. We anticipate continued interest in this area and hope that our summary of recent findings will stimulate further exploration into the implications of PELNs for human health.","Humans, Animals, Exosomes, Extracellular Vesicles, Cell Communication, Medicine, Chinese Traditional, Pulmonary Circulation, Mammals",2023,International journal of nanomedicine
29872621,Biomacromolecules as carriers in drug delivery and tissue engineering.,"Natural biomacromolecules have attracted increased attention as carriers in biomedicine in recent years because of their inherent biochemical and biophysical properties including renewability, nontoxicity, biocompatibility, biodegradability, long blood circulation time and targeting ability. Recent advances in our understanding of the biological functions of natural-origin biomacromolecules and the progress in the study of biological drug carriers indicate that such carriers may have advantages over synthetic material-based carriers in terms of half-life, stability, safety and ease of manufacture. In this review, we give a brief introduction to the biochemical properties of the widely used biomacromolecule-based carriers such as albumin, lipoproteins and polysaccharides. Then examples from the clinic and in recent laboratory development are summarized. Finally the current challenges and future prospects of present biological carriers are discussed.",,2018,Acta pharmaceutica Sinica. B
39236630,Liposomes-enabled cancer chemoimmunotherapy.,"Chemoimmunotherapy is an emerging paradigm in the clinic for treating several malignant diseases, such as non-small cell lung cancer, breast cancer, and large B-cell lymphoma. However, the efficacy of this strategy is still restricted by serious adverse events and a high therapeutic termination rate, presumably due to the lack of tumor-targeted distribution of both chemotherapeutic and immunotherapeutic agents. Targeted drug delivery has the potential to address this issue. Among the most promising nanocarriers in clinical translation, liposomes have drawn great attention in cancer chemoimmunotherapy in recent years. Liposomes-enabled cancer chemoimmunotherapy has made significant progress in clinics, with impressive therapeutic outcomes. This review summarizes the latest preclinical and clinical progress in liposome-enabled cancer chemoimmunotherapy and discusses the challenges and future directions of this field.","Liposomes, Humans, Immunotherapy, Animals, Neoplasms, Drug Delivery Systems, Antineoplastic Agents",2025,Biomaterials
26996620,Titanium Dioxide Nanoparticles: a Risk for Human Health?,"Titanium dioxide (TiO2) is a natural oxide of the element titanium with low toxicity, and negligible biological effects. The classification as bio-inert material has given the possibility to normal-sized (>100 nm) titanium dioxide particles (TiO2-NPs) to be extensively used in food products and as ingredients in a wide range of pharmaceutical products and cosmetics, such as sunscreens and toothpastes. Therefore, human exposure may occur through ingestion and dermal penetration, or through inhalation route, during both the manufacturing process and use. In spite of the extensively use of TiO2-NPs, the biological effects and the cellular response mechanisms are still not completely elucidated and thus a deep understanding of the toxicological profile of this compound is required. The main mechanism underlining the toxicity potentially triggered by TiO2-NPs seems to involve the reactive oxygen species (ROS) production, resulting in oxidative stress, inflammation, genotoxicity, metabolic change and potentially carcinogenesis. The extent and type of cell damage strongly depend on chemical and physical characteristics of TiO2-NPs, including size, crystal structure and photo-activation. In this mini-review, we would like to discuss the latest findings on the adverse effects and on potential human health risks induced by TiO2-NPs exposure.","Cosmetics, Food Safety, Humans, Nanoparticles, Oxidative Stress, Particle Size, Pharmaceutical Preparations, Reactive Oxygen Species, Risk Factors, Titanium",2016,Mini reviews in medicinal chemistry
39225412,Ultrasmall Enzyodynamic PANoptosis Nano-Inducers for Ultrasound-Amplified Hepatocellular Carcinoma Therapy and Lung Metastasis Inhibition.,"Addressing the inefficiency of current therapeutic approaches for hepatocellular carcinoma is an urgent and pressing challenge. PANoptosis, a form of inflammatory programmed cell death, presents a dependable strategy for combating cancer by engaging multiple cell death pathways (apoptosis, pyroptosis, and necroptosis). In this study, an ultrasmall Bi<sub>2</sub>Sn<sub>2</sub>O<sub>7</sub> nanozyme with ultrasound-magnified multienzyme-mimicking properties is designed and engineered as a PANoptosis inducer through destroying the mitochondrial function of tumor cells and enhancing the intracellular accumulation of toxic reactive oxygen species, finally triggering the activation of PANoptosis process. The role of PANoptosis inducer has been verified by the expression of related proteins, including cleaved Caspase 3, NLRP3, N-GSDMD, cleaved Caspase 1, p-MLKL, and RIPK3. The inclusion of external ultrasonic irradiation significantly augments the enzyodynamic therapeutic efficiency. In vitro and in vivo antineoplastic efficacy, along with inhibition of lung metastasis, validate the benefits of the Bi<sub>2</sub>Sn<sub>2</sub>O<sub>7</sub>-mediated PANoptosis pathway. This study not only elucidates the intricate mechanisms underlying Bi<sub>2</sub>Sn<sub>2</sub>O<sub>7</sub> as a PANoptosis inducer, but also offers a novel perspective for the treatment of hepatocellular carcinoma.","Carcinoma, Hepatocellular, Liver Neoplasms, Humans, Lung Neoplasms, Animals, Mice, Cell Line, Tumor, Necroptosis, Reactive Oxygen Species, Ultrasonic Therapy, Ultrasonic Waves, Nanoparticles, Antineoplastic Agents, Apoptosis, Sulfides",2024,"Advanced materials (Deerfield Beach, Fla.)"
32561255,Pathological effects of nano-sized particles on the respiratory system.,"Recent advances in nanotechnology have made significant progress in biomedical sciences. However, there are growing concerns that exposure to naturally-occurring and synthetic nano-sized particles promotes various types of human diseases. The lungs are the vital organ for gas exchange. Due to their unique position, the lungs can be the primary route that nanoparticles (NPs) enter the human body, which exerts toxic effects. In spite of the wide applications of NPs, the precise effects on health following exposure are not fully understood. To address this, the biophysical properties of naturally-occurring and synthetic NPs, their pathological effects on the respiratory system and the potential human health risk are examined. The goal of this review is to provide the current evidence that exposure to NPs is a risk factor to develop human diseases. The understanding of the pathological process by NPs is essential in preventing and the treatment of nanoparticle-induced human diseases.","Humans, Lung, Nanoparticles, Nanotechnology, Particle Size, Respiratory System",2020,"Nanomedicine : nanotechnology, biology, and medicine"
37393700,Nano delivery system for paclitaxel: Recent advances in cancer theranostics.,"Paclitaxel is one of the most effective chemotherapeutic drugs which processes the obvious curative effect for a broad range of cancers including breast, ovarian, lung, and head & neck cancers. Though some novel paclitaxel-loaded formulations have been developed, the clinical application of the paclitaxel is still limited due to its toxicity and solubility issues. Over the past decades, we have seen rapid advances in applying nanocarriers in paclitaxel delivery systems. The nano-drug delivery systems offer unique advantages in enhancing the aqueous solubility, reducing side effects, increasing permeability, prolonging circulation half-life of paclitaxel. In this review, we summarize recent advances in developing novel paclitaxel-loaded nano delivery systems based on nanocarriers. These nanocarriers show great potentials in overcoming the disadvantages of pure paclitaxel and as a result improving the efficacy.","Humans, Paclitaxel, Nanoparticle Drug Delivery System, Precision Medicine, Drug Delivery Systems, Neoplasms, Nanoparticles, Cell Line, Tumor",2023,"Colloids and surfaces. B, Biointerfaces"
36808971,Pulmonary Delivery of Recombinant Human Bleomycin Hydrolase Using Mannose-Modified Hierarchically Porous UiO-66 for Preventing Bleomycin-Induced Pulmonary Fibrosis.,"Bleomycins (BLMs) are widely used in clinics as antitumor agents. However, BLM-based chemotherapies often accompany severe pulmonary fibrosis (PF). Human bleomycin hydrolase is a cysteine protease that can convert BLMs into inactive deamido-BLMs. In this study, mannose-modified hierarchically porous UiO-66 (MHP-UiO-66) nanoparticles (NPs) were used to encapsulate the recombinant human bleomycin hydrolase (rhBLMH). When rhBLMH@MHP-UiO-66 was intratracheally instilled into the lungs, the NPs were transported into the epithelial cells, and rhBLMH prevented the lungs from PF during BLM-based chemotherapies. Encapsulation of rhBLMH in the MHP-UiO-66 NPs protects the enzyme from proteolysis in physiological conditions and enhances cellular uptake. In addition, the MHP-UiO-66 NPs significantly enhance the pulmonary accumulation of intratracheally instilled rhBLMH, thus providing more efficient protection of the lungs against BLMs during the chemotherapies.","Humans, Pulmonary Fibrosis, Bleomycin, Mannose, Porosity, Lung",2023,ACS applied materials & interfaces
38344832,Emerging Co-Assembled and Sustained Released Natural Medicinal Nanoparticles for Multitarget Therapy of Choroidal Neovascularization.,"Age-related macular degeneration (AMD) disease has become a worldwide senile disease, and frequent intravitreal injection of anti-vascular endothelial growth factor (anti-VEGF) is the mainstream treatment in the clinic, which is associated with sight-threatening complications. Herein, nintedanib, an inhibitor of angiogenesis, and lutein, a potent antioxidant, can co-assemble into nanoparticles through multiple noncovalent interactions. Interestingly, the co-assembled lutein/nintedanib nanoparticles (L/N NPs) exhibit significantly improved stability and achieve long-term sustained release of two drugs for at least two months in mice. Interestingly, in rabbit eyeball with a more complete barrier system, the L/N NPs still successfully distribute in the retina and choroid for a month. In the laser-induced mouse choroidal neovascularization model, the L/N NPs after a minimally invasive subconjunctival administration can successfully inhibit angiogenesis and achieve comparable and even better therapeutic results to that of standard intravitreal injection of anti-VEGF. Therefore, the subconjunctival injection of L/N NPs with long-term sustained drug release behavior represents a promising and innovative strategy for AMD treatment. Such minimally invasive administration together with the ability to effectively inhibit angiogenesis reduce inflammation and counteract oxidative stress and holds great potential for improving patient outcomes and quality of life in those suffering from this debilitating eye condition.","Animals, Choroidal Neovascularization, Nanoparticles, Rabbits, Delayed-Action Preparations, Mice, Indoles, Angiogenesis Inhibitors, Drug Liberation, Humans, Drug Carriers, Disease Models, Animal",2024,"Advanced materials (Deerfield Beach, Fla.)"
